"Group.1","home_wp","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","rush_attempt","pass_attempt","penalty_yards","drive_play_count","drive_time_of_possession1","third_conversion1","fourth_conversion1","timeout","penalty"
"Mike McCarthy_2020",0.439467825464916,4.40335570469799,0.486102133160957,0.103425985778927,0.450033534540577,0.0180995475113122,0.314765100671141,0.434228187919463,9.21875,7.73389720234223,192.813272608979,0.458715596330275,0.523809523809524,67,97
"Mike Tomlin_2018",0.590484232065344,4.28068862275449,0.557788944723618,0.0976310122038765,0.484281437125749,0.00933237616654702,0.263473053892216,0.475299401197605,8.46218487394958,7.48220769789397,214.79883805374,0.403225806451613,0.666666666666667,51,120
"Mike Tomlin_2019",0.547118885624467,3.41623616236162,0.552724699221514,0.0509554140127389,0.443952802359882,0.0155697098372258,0.304059040590406,0.428782287822878,8.74803149606299,6.9779359430605,202.24128113879,0.341836734693878,0.4,63,128
"Mike Tomlin_2020",0.618562537713611,3.88369152970923,0.593313069908815,0.0735562310030395,0.481036662452592,0.0060790273556231,0.266118836915297,0.475979772439949,8.75675675675676,6.86099203919167,184.832210655236,0.375494071146245,0.423076923076923,68,112
"Mike Vrabel_2018",0.509330966335021,3.96870342771982,0.441827266238401,0.0820842255531763,0.431124348473567,0.0214132762312634,0.31892697466468,0.413561847988077,8.26548672566372,7.40591204037491,219.571016582552,0.354368932038835,0.647058823529412,56,114
"Mike Vrabel_2019",0.517567537076662,4.3059866962306,0.442157558552165,0.0865862313697658,0.441980783444198,0.0227111426543648,0.322985957132299,0.422025129342202,8.5593220338983,7.09214285714286,201.012142857143,0.402061855670103,0.368421052631579,52,119
"Mike Vrabel_2020",0.56722886373413,4.43761996161228,0.461916461916462,0.10012285012285,0.440537084398977,0.0153562653562654,0.326295585412668,0.426103646833013,8.49074074074074,8.4378478664193,230.263450834879,0.51931330472103,0.652173913043478,65,109
"Mike Zimmer_2018",0.56434252080645,3.72962680883473,0.442335766423358,0.0496350364963504,0.444021325209444,0.0182481751824818,0.313023610053313,0.428789032749429,7.67307692307692,7.17933579335793,207.579335793358,0.34010152284264,0.363636363636364,63,105
"Mike Zimmer_2019",0.658644013507135,3.99316628701595,0.350545454545455,0.0814545454545455,0.42456406368461,0.00654545454545455,0.337129840546697,0.41837509491268,9.1123595505618,7.88734455010973,218.469641550841,0.372448979591837,0.625,67,90
"Mike Zimmer_2020",0.463130322841375,4.73595505617978,0.34885290148448,0.0560053981106613,0.429775280898876,0.0175438596491228,0.337078651685393,0.415730337078652,8.06976744186047,7.4786150712831,203.312966734555,0.433862433862434,0.526315789473684,64,87
